Nitrogen,Phosphorus,Potassium,Temperature,Humidity,pH,Moisture,Crop
67,47,44,26.73072391,81.78596776,7.868474653,47,Rice
73,35,38,24.88921174,81.97927117,5.005306977,59,Rice
77,36,37,26.88444878,81.46033732,6.136131869,36,Rice
81,41,38,22.67846116,83.72874389,7.524080076,63,Rice
68,57,43,26.08867875,80.37979919,5.706943251,43,Rice
72,45,35,25.42977518,82.94682591,5.758506323,40,Rice
61,53,43,26.40323239,81.05635517,6.349606327,65,Rice
67,43,39,26.04371967,84.96907151,5.999969026,59,Rice
67,58,39,25.2827223,80.54372813,5.453592032,44,Rice
66,60,38,22.08576562,83.47038318,6.372576327,28,Rice
82,43,38,23.28617173,81.43321641,5.105588355,30,Rice
84,50,44,25.48591986,81.40633547,5.935344406,30,Rice
81,53,42,23.67575393,81.03569343,5.17782304,50,Rice
91,50,40,20.82477109,84.1341879,6.462391607,61,Rice
93,53,38,26.92995077,81.91411159,7.069172227,26,Rice
90,44,38,23.83509503,83.88387074,7.473134377,45,Rice
81,45,35,26.52872817,80.12267476,6.158376967,41,Rice
78,40,38,26.46428311,83.85642678,7.549873681,25,Rice
60,51,36,22.69657794,82.81088865,6.028321558,32,Rice
88,46,42,22.68319059,83.46358271,6.604993475,27,Rice
93,47,37,21.53346343,82.14004101,6.500343222,51,Rice
60,55,45,21.40865769,83.3293191,5.935745417,43,Rice
78,35,44,26.54348085,84.67353597,7.072655622,57,Rice
65,37,40,23.35905428,83.59512273,5.333322606,31.27,Rice
71,54,16,22.61359953,63.69070564,5.749914421,50.14,Maize
61,44,17,26.10018422,71.57476937,6.931756558,40.35,Maize
80,43,16,23.55882094,71.59351368,6.657964753,33.06,Maize
73,58,21,19.97215954,57.68272924,6.596060648,46.25,Maize
61,38,20,18.47891261,62.69503871,5.970458434,46.33,Maize
68,41,16,21.77689322,57.80840636,6.158830619,30.65,Maize
93,41,17,25.6217169,66.50415474,6.047906679,58.17,Maize
89,60,19,25.19192419,66.6902901,5.913664501,53.63,Maize
76,44,17,20.41683147,62.5542482,5.855442401,40.96,Maize
67,60,25,24.92162194,66.78627406,5.750254943,43.3,Maize
70,44,19,23.31689124,73.4541537,5.852607099,65.09,Maize
90,49,21,24.84016732,68.3584573,6.472523287,54.07,Maize
62,52,16,22.27526694,58.84015925,6.967057762,38.71,Maize
92,44,16,18.87751445,65.76816093,6.082973754,31.12,Maize
66,54,21,25.19008683,60.2001687,5.919045532,52.62,Maize
63,58,22,18.25405352,55.28220433,6.204747653,30.5,Maize
70,47,17,24.6129118,70.4162444,6.600827017,23.18,Maize
61,41,17,25.1420613,65.26185135,6.021902237,31.03,Maize
66,53,19,23.09348056,60.1159381,6.033550195,69.07,Maize
74,55,19,18.05033737,62.89366992,6.28886807,30.51,Maize
77,57,21,24.9321581,73.80435276,6.550563823,47.06,Maize
99,50,15,18.14710054,71.09445342,5.573286437,47.85,Maize
74,56,22,18.28362235,66.65952796,6.829199275,55.51,Maize
83,45,21,18.83344471,58.75082029,5.716222912,65.48,Maize
100,48,16,25.71895816,67.22190688,5.54990242,43.77,Maize
79,51,16,25.33797709,68.49835977,6.586244581,50.41,Maize
94,39,18,23.89114571,57.48775781,5.893093135,21.12,Maize
75,49,15,21.53574127,71.50905983,5.918263801,62.92,Maize
78,48,22,23.08974909,63.10459626,5.588650585,30.62,Maize
87,54,20,25.61707368,63.4711755,6.576418207,46.2,Maize
87,35,25,21.44526922,63.1621551,6.178056304,59.57,Maize
63,43,19,18.51816776,55.53128131,6.641906353,70,Maize
84,57,25,22.53510514,67.99257471,6.489040367,27.78,Maize
64,35,23,23.02038334,61.89472002,5.680361038,43.9,Maize
60,46,22,24.89364635,65.61418761,6.625404348,57.07,Maize
98,44,21,25.77175115,74.089114,6.524478032,48.49,Maize
75,56,18,19.39851734,62.35750641,5.696205468,54.23,Maize
86,55,21,21.54156232,59.64024162,6.803931519,20.16,Maize
98,35,18,23.79746068,74.82913698,6.252797548,34.11,Maize
76,57,18,18.9802729,74.52600826,6.092725883,41.4,Maize
99,56,17,24.10859207,73.13112261,6.234330356,48.36,Maize
60,44,23,24.7947077,70.04556743,5.722579819,56.32,Maize
74,48,17,21.63162756,60.27766379,6.430616465,36.89,Maize
89,60,17,25.37548751,57.21025565,5.983952675,54.95,Maize
69,51,23,22.21738222,72.85462807,6.80163854,35.75,Maize
96,46,22,20.58314011,69.00128641,6.499936446,51.17,Maize
61,60,15,24.87502824,68.74248334,6.265564338,33.12,Maize
74,58,18,20.03728219,56.35606753,6.727303282,50.07,Maize
74,43,23,25.95263264,61.89082199,6.325235159,52.09,Maize
63,43,17,19.28889933,65.47050802,6.807487794,62.22,Maize
99,36,20,20.57981887,65.34583901,6.671085817,67.37,Maize
77,36,23,24.71417533,56.73426469,6.648725327,67.14,Maize
87,60,23,20.27317074,63.91281869,6.439071996,43.83,Maize
60,38,17,18.41932981,64.23580251,6.474476516,38.51,Maize
94,54,17,23.39128187,61.74427165,5.871647806,53.31,Maize
95,38,22,19.84939404,61.24500053,5.730617109,34.86,Maize
84,44,21,21.869274,61.91044947,5.850439831,35.35,Maize
77,58,19,22.8056033,56.50768935,5.791649933,41.22,Maize
66,44,20,19.0781471,69.02298571,6.740000688,62.63,Maize
63,35,16,22.02720976,65.35549924,6.272417541,52.16,Maize
79,45,20,23.80546189,59.24537979,5.715208817,58.9,Maize
72,60,25,18.52510753,69.0276233,5.773454729,69.68,Maize
67,51,24,23.50297882,61.32026065,5.584171461,42.55,Maize
86,36,24,26.54986394,72.89187265,5.787268394,49.46,Maize
76,48,18,19.29563411,69.63481219,5.77597783,45.07,Maize
75,53,18,20.68899915,59.4375337,6.864793607,40.78,Maize
81,45,23,19.32666088,68.034493,6.192360003,22.27,Maize
73,45,21,24.60532218,73.58868502,6.636803223,20,Maize
71,35,24,22.27373646,59.52193158,5.826426917,34.08,Maize
96,54,22,25.70196694,61.33450447,6.960358276,20,Maize
99,39,18,19.20129357,68.30578978,6.11275104,32.86,Maize
62,48,20,21.70181447,60.47470519,6.708446922,38,Maize
86,37,16,20.51716779,59.21235483,5.561510732,41.53,Maize
94,50,19,23.30355338,73.62548442,5.873242491,47.99,Maize
76,39,24,24.2547451,55.64709899,6.995843776,33.66,Maize
77,52,17,24.86374934,65.7420046,5.714799723,55.92,Maize
74,39,23,22.6265115,65.77472881,6.78073637,42.97,Maize
81,49,20,18.04185513,60.61494304,5.513697923,41.92,Maize
63,42,21,23.26237612,72.33125523,5.798423908,36.14,Maize
99,38,21,22.88330922,71.59722446,6.352471866,31.58,Maize
90,52,25,25.97482359,69.36385721,6.822586546,55.73,Maize
68,40,19,26.14384005,66.20569924,6.655426355,62.06,Maize
60,57,24,18.66116213,61.55327249,6.121294041,69.67,Maize
71,52,18,25.10787449,55.97732754,5.790770203,46.87,Maize
61,59,17,23.33844615,59.24580604,6.47444292,29.12,Maize
88,38,15,25.08239719,65.92195844,6.455116637,67.72,Maize
65,60,22,25.36768364,72.52054555,6.606984086,63.83,Maize
78,37,22,25.34217103,63.31801994,6.330554389,39.27,Maize
78,58,15,25.00933355,67.816568,6.528631266,42.28,Maize
92,60,23,18.66746724,71.516474,5.721667141,31.9,Maize
79,59,17,20.37999665,63.73849998,6.644205485,22.41,Maize
91,55,15,18.09300227,72.61024172,6.376651091,23.25,Maize
76,51,18,26.16985907,71.96246617,6.247040422,41.18,Maize
87,48,25,18.65396672,61.37879671,6.656730008,33.13,Maize
71,60,22,26.07470121,59.37147589,6.2048017,26.8,Maize
90,57,24,18.92851916,72.80086137,6.158860284,27.9,Maize
67,35,22,23.30546753,63.24648023,6.385684214,62.34,Maize
60,54,19,18.74826712,62.49878458,6.417820493,26.27,Maize
83,58,23,19.74213321,59.66263104,6.381201909,42.86,Maize
83,57,19,25.73044432,70.74739256,6.877869005,46.45,Maize
40,72,77,17.02498456,16.98861173,7.485996067,43.03,Chickpea
23,72,84,19.02061277,17.13159126,6.920251378,42.33,Chickpea
39,58,85,17.88776475,15.40589717,5.996932037,37.76,Chickpea
22,72,85,18.86805647,15.65809214,6.391173589,47.97,Chickpea
36,67,77,18.36952567,19.56381041,7.152811172,37.05,Chickpea
32,73,81,20.45078582,15.40312102,5.988992796,63.79,Chickpea
58,70,84,20.6543203,16.60820843,6.231049028,32.67,Chickpea
59,70,84,17.3348681,18.74926979,7.550808267,42.93,Chickpea
42,62,75,18.17912258,18.90426935,7.010570541,49.1,Chickpea
28,74,81,18.01272266,18.30968112,8.753795334,64.66,Chickpea
58,66,79,20.99373558,19.33470387,8.718192847,35.6,Chickpea
43,66,79,19.46233971,15.22538951,7.976607593,55.92,Chickpea
58,63,81,19.81344531,14.69765308,6.515499549,25.36,Chickpea
23,62,85,18.97424756,19.5161216,8.490127142,65.58,Chickpea
27,62,77,18.19737048,14.71070537,6.576415562,59.87,Chickpea
28,72,84,18.72963144,19.18197264,6.481783043,54.13,Chickpea
50,56,76,20.99502153,19.8601304,7.966605025,35.02,Chickpea
39,71,84,20.28155898,16.39535215,8.140825437,45.34,Chickpea
25,78,76,17.48042641,15.7559405,7.228963452,40.69,Chickpea
31,70,77,20.88818675,14.32313811,6.492546046,39.63,Chickpea
26,80,83,17.08498521,16.14565756,7.528599957,51.65,Chickpea
25,68,77,20.09340593,15.11279612,7.701446446,41.7,Chickpea
31,78,76,17.57212145,14.99927489,8.519975748,56.8,Chickpea
60,68,83,19.12065218,18.43475844,6.620900869,20,Chickpea
59,62,83,18.57665902,19.22008229,8.104396058,47.64,Chickpea
22,67,78,17.16606398,14.42457525,6.204090835,38.36,Chickpea
36,65,80,18.2872007,16.67921616,6.051091339,37.58,Chickpea
59,60,84,19.03025305,18.66725565,7.690962338,24.65,Chickpea
54,77,85,17.1418614,17.0662427,7.829211144,52.94,Chickpea
43,68,81,17.47809436,17.93253975,6.761599706,46.14,Chickpea
28,76,82,20.56601874,14.25803981,6.654425315,24.39,Chickpea
42,79,85,17.22385224,15.82069268,6.129533877,65.38,Chickpea
32,60,83,19.69141713,19.44225438,8.829273328,45.27,Chickpea
22,78,76,17.84851658,19.09172907,8.621662982,50.2,Chickpea
31,79,75,18.8202251,16.1074793,8.204862075,20.33,Chickpea
28,58,81,17.47500984,16.54314829,6.18042747,70,Chickpea
57,58,77,18.72649425,17.58406365,7.978996755,46.59,Chickpea
49,55,78,18.65580107,16.17772668,7.863113671,70,Chickpea
46,76,77,18.2356751,19.68538502,6.967843048,45.57,Chickpea
54,61,77,18.81198127,15.21618225,6.206582193,32.5,Chickpea
38,60,76,18.65054116,17.80852431,8.868741443,64.77,Chickpea
59,55,79,20.36720401,16.89574311,8.766128654,67.73,Chickpea
36,76,75,18.38120357,16.63805158,8.736337905,25.35,Chickpea
57,68,81,17.17012591,17.30457712,8.081095263,46.43,Chickpea
35,66,81,19.37101121,15.77458129,6.138243973,34.97,Chickpea
35,64,78,17.92845928,14.27327988,7.496645259,53.09,Chickpea
52,60,79,19.45339934,18.23490739,8.380185271,69.87,Chickpea
27,76,83,19.12829388,14.92241479,6.289614016,33.6,Chickpea
57,60,84,19.1034283,17.26184541,6.586777189,29.64,Chickpea
52,68,78,17.48504075,16.96070581,6.89655198,42.77,Chickpea
43,79,79,19.40751744,18.98030507,7.806747656,23.84,Chickpea
44,74,85,20.18649426,19.63719995,7.150681303,59.34,Chickpea
24,55,78,17.30287885,15.15405941,6.64919573,33.57,Chickpea
29,77,75,17.50361137,15.48083156,7.778591618,34.04,Chickpea
20,60,78,18.17234999,14.70085967,6.358740355,50.06,Chickpea
56,67,78,17.57445618,16.71826572,8.255450758,33.44,Chickpea
37,66,85,20.93175255,18.91295403,6.456148474,70,Chickpea
49,71,76,19.71098332,17.63879418,6.613072145,23.31,Chickpea
59,69,80,19.07937684,17.86754927,8.165359297,32.06,Chickpea
20,79,77,18.54988627,16.02542689,7.64867466,70,Chickpea
24,56,85,18.19903647,17.41333199,6.545888558,20,Chickpea
51,72,75,18.88852533,14.99451145,7.104224797,53.16,Chickpea
57,73,85,18.49311205,14.72115044,7.358099622,55.71,Chickpea
22,64,82,19.48974337,17.17260319,6.4740245,39.29,Chickpea
52,73,79,17.25769499,18.74943955,7.840339389,29.35,Chickpea
29,75,75,19.62416326,18.71483156,7.064790365,65.83,Chickpea
44,59,78,20.67526473,19.85388984,7.599033472,29.98,Chickpea
41,69,82,20.02381489,16.63294455,6.715587232,28.42,Chickpea
52,56,85,20.1187446,14.44228303,6.81712422,22.36,Chickpea
34,76,80,20.65691793,15.84572566,7.985417393,40.49,Chickpea
42,74,83,19.2582557,14.2804191,7.545258424,28.94,Chickpea
34,71,79,17.927806,15.85622899,7.728998197,69.92,Chickpea
27,73,79,19.16288268,15.83500655,7.354973451,31.32,Chickpea
30,70,79,20.26942271,19.96978871,7.313122235,39.2,Chickpea
57,57,75,17.09104223,18.25142068,7.785039076,32.64,Chickpea
27,79,82,17.06579293,17.54024066,6.307004923,43.64,Chickpea
32,71,85,20.62767492,14.44008871,6.403982316,28.68,Chickpea
31,76,82,20.8248451,17.85057083,7.599279991,33.05,Chickpea
33,75,84,19.46210401,18.72831993,7.217018459,59.1,Chickpea
47,80,77,17.18248372,16.42891834,7.561108006,47.33,Chickpea
54,62,80,17.48911699,16.39055394,7.489545074,36.28,Chickpea
47,79,78,17.48395377,14.76014523,6.609696734,62.13,Chickpea
35,57,83,19.48316794,17.44534641,7.476800943,36.58,Chickpea
53,73,77,19.71359733,18.09665739,7.325451279,47.46,Chickpea
45,61,78,19.48649305,16.06240074,6.489389282,59.47,Chickpea
37,78,79,19.95264829,14.82633099,7.786366322,30.62,Chickpea
30,75,81,19.41789736,16.80472243,6.408437886,57.23,Chickpea
37,55,82,19.45591848,18.02235902,8.423873703,56.12,Chickpea
53,65,76,20.19137759,16.41998269,8.719960893,29.32,Chickpea
22,60,85,18.8392908,14.74071856,7.811997977,49.7,Chickpea
60,61,78,20.71219282,19.83643308,6.317153205,53.7,Chickpea
42,67,77,18.99424448,15.9362937,7.114405288,48.76,Chickpea
39,76,76,19.96837462,15.57324389,8.135900726,46.33,Chickpea
35,63,76,17.81564548,17.60756635,7.714153038,59.99,Chickpea
30,65,82,20.71424384,15.27824066,7.103798069,48.82,Chickpea
57,56,78,17.34150229,18.75626255,8.861479668,42.09,Chickpea
48,65,78,17.43732714,14.33847406,7.861128148,54.12,Chickpea
36,56,83,18.89780215,19.76182946,7.4526709,43.31,Chickpea
40,58,75,18.59190771,14.77959596,7.168096055,37.35,Chickpea
49,69,82,18.31561493,15.36143547,7.26311855,39.28,Chickpea
13,60,25,17.13692774,20.59541693,5.68597166,29.79,Kidneybeans
25,70,16,19.63474332,18.90705639,5.759237003,46.04,Kidneybeans
31,55,22,22.91350245,21.33953114,5.873171894,61.4,Kidneybeans
40,64,16,16.43340342,24.24045875,5.926676985,34.08,Kidneybeans
2,61,20,22.13974653,23.02251117,5.95561668,30.91,Kidneybeans
26,65,22,17.84806561,18.77621951,5.949949081,35.4,Kidneybeans
17,57,21,19.88394011,20.31564139,5.789214289,23.31,Kidneybeans
26,80,18,19.32509638,23.3334788,5.581021521,23.76,Kidneybeans
17,59,17,18.4167001,23.42829938,5.689858133,47.02,Kidneybeans
27,59,22,21.81167649,23.20591245,5.794158504,57.6,Kidneybeans
28,58,24,19.72702528,18.28173015,5.748190463,33.31,Kidneybeans
25,57,19,17.15432954,19.87070659,5.566522896,47.85,Kidneybeans
28,80,17,19.62207826,18.67170854,5.809419584,59.74,Kidneybeans
25,60,22,21.63149148,21.17919701,5.887263027,61.72,Kidneybeans
12,78,23,16.06522754,18.72479695,5.99812453,50.41,Kidneybeans
6,77,25,20.61162204,24.36314135,5.792744849,20,Kidneybeans
22,79,17,21.42451099,20.39659714,5.912289889,70,Kidneybeans
27,80,15,19.07096165,21.21092266,5.788386951,33.4,Kidneybeans
10,55,23,21.18853178,19.63438599,5.728233081,35.25,Kidneybeans
23,65,20,23.0429097,22.42610972,5.833940084,35.01,Kidneybeans
19,78,16,20.65375833,23.10538637,5.967533236,43.87,Kidneybeans
19,65,25,18.09551014,18.29318436,5.625096446,29.53,Kidneybeans
22,70,19,18.23775702,21.07643273,5.515615023,35.48,Kidneybeans
37,64,22,17.48189735,18.8251973,5.954665349,22.19,Kidneybeans
11,71,17,19.9191786,21.47324158,5.74644777,21.76,Kidneybeans
18,79,20,20.27514686,23.2353604,5.877347515,49.89,Kidneybeans
21,63,17,15.77370214,19.2303162,5.979973965,36.26,Kidneybeans
24,80,22,16.71170642,19.17651433,5.635993966,55.83,Kidneybeans
34,60,22,17.66148158,18.15302753,5.635231778,28.6,Kidneybeans
16,75,21,18.50692825,23.61670065,5.679224346,46.56,Kidneybeans
17,77,23,24.51324787,20.81527638,5.670062975,62.32,Kidneybeans
37,72,18,18.87614998,24.54038287,5.724242065,52.38,Kidneybeans
40,73,20,21.59343016,20.31871249,5.811314232,58.95,Kidneybeans
9,77,17,20.12373284,24.45202552,5.783425416,55.75,Kidneybeans
1,62,23,15.43546065,18.37477907,5.607808432,44.94,Kidneybeans
33,59,22,22.64236876,21.59396123,5.946999529,51.69,Kidneybeans
23,59,19,21.98560799,24.87304788,5.852046999,68.56,Kidneybeans
6,62,22,20.53052663,18.09224048,5.824090984,45.77,Kidneybeans
25,63,20,15.78601387,21.14544088,5.502999119,33,Kidneybeans
7,79,23,19.6365349,19.68751084,5.821649914,35.3,Kidneybeans
8,72,17,20.57341244,19.7520218,5.711439256,28.05,Kidneybeans
27,64,15,20.16080524,24.84207559,5.514927264,26.32,Kidneybeans
28,66,23,21.53989176,24.25386207,5.99616119,56.12,Kidneybeans
32,57,18,15.53834801,23.75560241,5.695422863,68.62,Kidneybeans
27,56,22,19.91853092,20.70099804,5.833010958,32.87,Kidneybeans
17,77,24,20.76952209,18.93146941,5.568456899,38,Kidneybeans
0,65,15,23.46168338,23.22197648,5.645435626,37.36,Kidneybeans
13,72,21,24.32116642,21.0278674,5.821194486,55.18,Kidneybeans
34,60,23,20.12574053,24.96969858,5.659254981,34.73,Kidneybeans
9,80,19,21.80619564,18.57086554,5.945465949,27.62,Kidneybeans
11,72,20,19.52226241,24.92607153,5.951177452,41.47,Kidneybeans
3,67,24,17.00067625,19.90790546,5.520880014,36.72,Kidneybeans
35,69,23,16.78791503,24.96881755,5.578410206,54.45,Kidneybeans
3,77,25,24.84906168,22.89464642,5.608165195,30.84,Kidneybeans
23,62,19,16.51783455,20.4555596,5.609435128,30.92,Kidneybeans
22,71,17,18.15300153,19.38602098,5.509295379,37.84,Kidneybeans
31,79,25,23.18864385,22.3104551,5.902033406,57.02,Kidneybeans
34,59,18,23.38002569,21.98879437,5.744117663,63.43,Kidneybeans
12,63,17,18.358923,19.37703396,5.717143397,52.37,Kidneybeans
27,56,20,19.25975367,20.51346956,5.542690119,56.9,Kidneybeans
7,63,24,22.95458237,24.03553105,5.858617867,37.59,Kidneybeans
24,67,22,20.120043,22.89845607,5.618844277,67.89,Kidneybeans
11,71,24,21.14011423,22.7182355,5.606620346,26.04,Kidneybeans
37,74,15,24.92360104,18.22590825,5.582178402,52.95,Kidneybeans
25,76,24,15.33042636,24.91506728,5.56503533,63.37,Kidneybeans
34,66,17,18.81097271,21.27833035,5.889614577,26.57,Kidneybeans
20,69,15,23.44260668,22.77255917,5.934136378,42.8,Kidneybeans
37,65,16,22.8352024,18.97267518,5.683548308,34.5,Kidneybeans
18,74,15,24.9035819,22.27512704,5.70836603,41.16,Kidneybeans
4,67,25,23.78709569,24.35679348,5.948164454,45.85,Kidneybeans
37,56,25,22.05592283,19.60379304,5.774755144,20.77,Kidneybeans
5,59,15,18.87492997,20.18238348,5.97229163,55.33,Kidneybeans
11,61,21,18.62328774,23.02410338,5.532100554,20,Kidneybeans
22,80,20,23.00884744,18.86880997,5.669560726,38.71,Kidneybeans
12,61,19,19.33162606,24.13995025,5.655726817,37.05,Kidneybeans
5,74,21,16.24469193,21.35793891,5.591704014,44.71,Kidneybeans
27,69,22,17.91652287,24.90814655,5.932323085,52.06,Kidneybeans
31,75,18,15.46789263,21.43780702,5.824208309,44.04,Kidneybeans
36,68,20,17.06104474,23.77201471,5.86442953,64.12,Kidneybeans
5,65,16,21.32776028,18.48522915,5.866744372,51.81,Kidneybeans
32,79,15,23.90910104,20.74619325,5.706198621,35.02,Kidneybeans
11,78,22,23.89756791,22.74378977,5.940546818,45.29,Kidneybeans
0,55,22,22.98666928,20.57940608,5.916779289,35.32,Kidneybeans
14,59,15,21.35135729,22.91244883,5.779090476,70,Kidneybeans
29,68,23,24.1638445,19.27907819,5.82738029,51.62,Kidneybeans
32,68,19,24.62835037,18.18325169,5.514234138,57.4,Kidneybeans
17,64,17,21.02213209,24.93896255,5.662699104,56.8,Kidneybeans
13,69,19,17.30844532,20.01730914,5.86390397,54.72,Kidneybeans
14,67,22,23.82576704,24.75485098,5.624690248,26.2,Kidneybeans
9,69,20,19.30607278,23.96362799,5.591560999,51.24,Kidneybeans
20,73,22,16.03768615,22.33195853,5.976312538,40,Kidneybeans
40,78,20,19.18572809,20.83398341,5.669236258,53.16,Kidneybeans
27,72,23,19.92889503,21.79992115,5.961934481,38.54,Kidneybeans
14,67,15,19.56376468,24.67385131,5.690065688,57.72,Kidneybeans
7,56,18,18.31357543,24.32991649,5.698371311,25.67,Kidneybeans
27,65,18,20.10993761,23.22323766,5.59503163,65.32,Kidneybeans
30,63,16,23.60506572,21.90539577,5.525904526,41.48,Kidneybeans
37,70,25,19.73136909,24.89487354,5.819403771,39.18,Kidneybeans
27,63,19,20.93409877,21.1893007,5.562201934,41.84,Kidneybeans
22,60,24,18.78226261,20.24768314,5.630664753,24.17,Kidneybeans
3,72,24,36.51268371,57.92887167,6.03160778,41.1,Pigeonpeas
40,59,23,36.89163721,62.73178224,5.269084669,45.85,Pigeonpeas
33,73,23,29.23540524,59.38967583,5.985792703,43.74,Pigeonpeas
27,57,24,27.33534897,43.35795962,6.09186275,39.26,Pigeonpeas
10,79,18,21.0643684,55.46985938,5.624731338,42.56,Pigeonpeas
30,75,25,30.33276599,42.35249879,6.446091759,20,Pigeonpeas
40,70,20,31.80130272,45.03186173,5.623490043,36.95,Pigeonpeas
38,55,19,33.18184225,38.23184742,5.864623352,38.43,Pigeonpeas
35,58,20,29.38538562,63.47742011,5.761702519,51.4,Pigeonpeas
38,61,21,30.27374995,67.38680755,4.696518678,40.32,Pigeonpeas
33,58,24,35.45790488,68.75810535,5.269504214,33.26,Pigeonpeas
16,56,17,33.80020039,40.03262418,7.445444883,21.43,Pigeonpeas
31,72,17,28.69180475,49.47225353,5.833031708,48.83,Pigeonpeas
16,80,20,31.24021696,56.67369054,7.339320929,58.64,Pigeonpeas
27,72,17,28.98039357,57.23265151,6.347929353,57.75,Pigeonpeas
40,62,19,27.32198928,34.13737127,4.697750704,69.2,Pigeonpeas
18,58,16,21.47607807,38.80023714,4.962661422,50.97,Pigeonpeas
3,68,16,18.31910448,34.69776639,4.964887857,48.6,Pigeonpeas
26,67,24,36.97794384,37.73992903,5.642813116,68.08,Pigeonpeas
16,70,20,24.80467592,40.1242747,5.6093956,52.3,Pigeonpeas
